hồng ngọc,hngoc,hn|Hồng ngọc săn boss, up cold, up cskb, ĐHVT + ĐHVT23 + Siêu Hạng, Nạp thẻ (Còn nhiều cách khác)
thỏi,tvang,tv|Thỏi vàng làm nhiệm vụ bò mộng, hộ tống, ĐHVT23, Nạp thẻ (Còn nhiều cách khác)
tkmk,tk mk,thành công,đăng ký,dky,tạo,sai,chính xác,đăng nhập,tạo nv,tạo nhân vật,tao nv,k đc,k vo dc,vo dc,vô được,xoay|Nếu gặp lỗi Bạn hãy chụp lại hoặc quay lại gửi vào đây để mọi người hỗ trợ
xoay jar,quay jar|Bạn hãy xoá dữ liệu bản jar sẽ hết xoay. Chỗ tải ở web có chỉ xoá dữ liệu đó
xoay pc,quay pc|Bạn hãy giải nén file pc ra trước rồi xoá dữ liệu mới chơi được bản pc nhé. Chỗ tải ở web có chỉ xoá dữ liệu đó
link,tải,jar,java,pc,windows,máy tính,apk,adr,android,androi,download,ios,ip,iphone,tf,testflight,website,trang chủ,web,diễn đàn|Link (Trang chủ - tải game - nạp tiền) trên ghim box zalo [Mở trên trình duyệt mới tải được game] (Có TestFlight) (Gặp lỗi -> Bạn hãy chụp lại hoặc quay lại gửi vào đây để mọi người hỗ trợ)
id,ip,ipsv|Tất cả bản trên web đã cài sẵn Ip (tải về xoá dữ liệu rồi sài thôi) -> LINK IP TRÊN GHIM
lỗi|Bạn quay video lỗi gửi cho Key vàng nhé!
lag,lang,lắc,lác|Game rất hiếm khi lag! Nếu bị nhoè màn hình là game vừa update dữ liệu mới. Hãy xoá dữ liệu và tải dữ liệu mới nhất nhé
chậm,tốc,cheat,speed|Tăng tốc độ game hãy CHAT thử từng cái nhé: speed 3, cheat_3, cheat 3 (Không viết hoa)
spl,sao pha lê|Sao pha lê mua ở shop mở rộng hành trang ở Santa
up nhanh,up đâu,up sm,úp đâu,úp sm,úp nhanh,cày nhanh,cày sm|Cày nhanh tại Ngũ Hành Sơn (đường tăng - làng aru) hoặc Địa Ngục (thần vũ trụ - hành tinh kaio)
htnt,tù|Dùng capsule hoặc vào rừng karin rồi đi lên trên để đến hành tinh ngục tù 
tiểu|Giết boss doanh trại rơi tiểu hạt
yanrobi|Boss Yanrobi rơi hồng ngọc
giới hạn,gh dame,gh st|Boss nhiệm vụ sẽ giới hạn để người chơi sau dễ làm nhiệm vụ. Boss không phải nhiệm vụ sẽ không giới hạn nhé
kém|kém sang quá :))
vùng đất|Vùng đất huỷ diệt bạn lên hành tinh Bill là qua được
dc đâu,đc đâu,co dc dau|Xin lỗi mình chỉ là BotChat. Nếu mình không giúp được bạn. Hãy hãy quay hoặc chụp lại rồi gửi cho Key vàng nhé
code tuần,giftcode tuần,code mới,giftcode mới|Hãy vào fanpage trên ghim box zalo sẽ có bài viết lấy code tuần nhé
fan cung,fanpage,fancung,fan cứng,fc|Trên ghim box có sự kiện lấy code fan cứng đó
giftcode,code|Giftcode tân thủ ghi sẵn trong game nhé bạn, vừa nhìn vừa nhập cho nhanh (Code khác trên ghim)
gas|Đi doanh trại kiếm Bản đồ kho báu (bình gas) rồi vào Khí gas ở làng aru
skill mới,skill đặc biệt,super kame,ma phong ba,liên hoàn chưởng,biến hình|Học skill đặc biệt ở quy lão đảo kame. cày hoặc nạp đều học được, đi doanh trại sẽ rơi bí kíp học skill
sợ,thua|Ai sợ đi về :))
tb boss,báo boss,bao boss|Chat 'sb' để bật thông báo boss nha
ts,tàn sát,đánh quái,auto đánh|Chat 'ts' để auto tàn sát quái nhé
10k,20k,30k,50k,100k,200k,300k,500k,700k,1tr|Tỷ lệ nạp 10k = 20k hồng ngọc, 60k = 10k thỏi vàng (chi tiết ở Santa)
thần tiên|Cần phiếu giảm giá để mua set thần tiên
đổi skill,đổi chiêu,đổi skill1,đổi skill2,đổi skill3,đổi skill4,đổi skill5|Gọi rồng thần đổi skill 2-3-4 đệ tử
1tab,2tab,3tab,4tab,5tab,tab|Giới hạn địa chỉ IP là 4 Tab online cùng lúc nhé
vàng,bán thỏi,sử dụng thỏi|Vầng nhận miễn phí không giới hạn ở nhà
đậu,béo|Đậu thần Mabư săn ở mabu 21h ở đại hội võ thuật
cay|Cay thì mua sữa về uống :))
potaufeu|Hang potaufeu đến trạm tàu vũ trụ trái đất tìm thằng Jaco để vào đánh nhân bản rơi item siêu cấp
doanh trại|Vào rừng bambo gặp lính canh để vào doanh trại, tất cả người đứng gần phải xong nhiệm vụ 24 mới được đi
điểm boss|Điểm boss -> đánh boss sẽ có điểm (tuỳ boss)
cold|Xong nhiệm vụ xên hoàn thiện ở thị trấn ginder là qua được cold
dùng đậu|Mua bùa cho đệ tử là nó tự nhai đậu rồi khỏi auto
thể lực|Mua bùa dẻo dai vào là khỏi lo hết thể lực nhé
vamchar|Làng vamchar bạn tới làng morri để vào nhé
làng lá|Từ đảo hoa chạy sang trái là đến làng lá
cuồng nộ,item,cnsc,máy dò,cskb,capsule,kì bí,cn,bh,bổ huyết,bổ khí,bk|Item thường và siêu cấp mở từ capsule kì bí (mua máy dò up cskb)
xu|Up quái ngũ hành sơn rơi đồng xu
trùng sinh|Trùng sinh cần canh mạnh bà, tăng thêm 5% chỉ số gốc (819K và 42K)
mạnh bà|Canh mạnh bà bạn có thể mua ở santa hoặc thu thập x999 11 nguyên liệu ở địa ngục (bấm sử dụng nguyên liệu để nấu)
bí kíp,yadat,yardrat|Bạn qua núi khỉ vàng gặp goku ssj rồi vào hành tinh yardrat up bí kíp cải trang. Và Đi doanh trại đánh quái là rơi bí kíp tuyệt kĩ nhé, xong ra quy lão học sì kiu đặc biệt 
thiên sứ,mts,mảnh ts,manh ts|mảnh thiên sứ up ở hành tinh ngục tù xong đem ra Thiên sứ whis ở hành tinh kaio nâng
câu cá|Câu cá thì mua cần câu rồi bấm sử dụng là được (1 lần câu 500 hồng ngọc - không mất cần câu) 
Tiểu đội sát thủ,tdst,boss số,số 4,tđst|Tiểu đội sát thủ - 10 phút - giờ hỗ trợ: 9-12h và 21-24h
Fide,fd,fire|Fide - 10 phút - giờ hỗ trợ: 9-12h và 21-24h
android19,adr19,android20,kore,apk19,apk20,android 19,androi 19,androi19,robot sát thủ|Android19-20 - 15 phút - giờ hỗ trợ: 9-12h và 21-24h 
pic,poc,kingkong,ppkk|Pic-Poc-Kingkong - 15 phút - Thành phố phía bắc - giờ hỗ trợ: 9-12h và 21-24h - sát thương tối đa: 100.000.000 (có thể bỏ qua nhiệm vụ ở nhà)
thị trấn,ginder,xên bọ hung|Xên bọ hung - 15 phút - Thị trấn Ginder - giờ hỗ trợ: 9-12h và 21-24h - sát thương tối đa: 400.000.000 (có thể bỏ qua nhiệm vụ ở nhà)
xên võ đài,cell võ đài,siêu bọ hung,võ đài,vo dai|Siêu Bọ Hung - 15 phút - Võ Đài Xên Bọ Hung - giờ hỗ trợ: 9-12h và 21-24h - sát thương tối đa: 500.000.000 (có thể bỏ qua nhiệm vụ ở nhà)
doremon,doraemon,nobita,shizuka,chaien,xeko|Boss Tiểu đội doraemon (20 phút) (có thể bỏ qua nhiệm vụ ở nhà)
